engine,algo,tier,mode,metric,threads,batch,count,ms,rate_per_s
UA,philox4x32-10,scalar,batch,normal,8,256,32000000,272.607100,117385057.098057
UA,philox4x32-10,scalar,batch,u64,8,1024,32000000,49.483900,646674978.996288
UA,philox4x32-10,scalar,batch,double,8,1024,32000000,59.693400,536072664.421880
UA,philox4x32-10,scalar,batch,normal,8,1024,32000000,271.299600,117950782.085166
UA,philox4x32-10,scalar,batch,u64,8,4096,32000000,50.866400,629098972.953466
UA,philox4x32-10,scalar,batch,double,8,4096,32000000,57.771000,553911131.617606
UA,philox4x32-10,scalar,batch,normal,8,4096,32000000,270.257200,118405726.099744
UA,philox4x32-10,scalar,batch,u64,8,16384,32000000,50.461100,634151851.847241
UA,philox4x32-10,scalar,batch,double,8,16384,32000000,58.069300,551065709.458523
UA,philox4x32-10,scalar,batch,normal,8,16384,32000000,274.177700,116712628.350045
UA,philox4x32-10,scalar,batch,u64,8,65536,32000000,54.476100,587413562.714845
UA,philox4x32-10,scalar,batch,double,8,65536,32000000,59.968700,533611700.844396
UA,philox4x32-10,scalar,batch,normal,8,65536,32000000,277.740000,115215669.327073
UA,xoshiro256**,avx2,batch,u64,1,256,4000000,4.784400,836050499.849805
UA,xoshiro256**,avx2,batch,double,1,256,4000000,11.989200,333633603.688015
UA,xoshiro256**,avx2,batch,normal,1,256,4000000,145.956000,27405519.477173
UA,xoshiro256**,avx2,batch,u64,1,1024,4000000,3.858000,1036806624.798189
UA,xoshiro256**,avx2,batch,double,1,1024,4000000,9.855300,405872981.669296
UA,xoshiro256**,avx2,batch,normal,1,1024,4000000,135.105900,29606405.051946
UA,xoshiro256**,avx2,batch,u64,1,4096,4000000,4.355700,918336888.510838
UA,xoshiro256**,avx2,batch,double,1,4096,4000000,12.640700,316438172.371180
UA,xoshiro256**,avx2,batch,normal,1,4096,4000000,139.190700,28737552.150799
UA,xoshiro256**,avx2,batch,u64,1,16384,4000000,4.341100,921425449.940858
UA,xoshiro256**,avx2,batch,double,1,16384,4000000,10.486900,381428256.964365
UA,xoshiro256**,avx2,batch,normal,1,16384,4000000,147.942200,27037586.299672
UA,xoshiro256**,avx2,batch,u64,1,65536,4000000,5.554400,720149795.410039
UA,xoshiro256**,avx2,batch,double,1,65536,4000000,11.122200,359641077.809233
UA,xoshiro256**,avx2,batch,normal,1,65536,4000000,142.014200,28166197.470284
UA,xoshiro256**,avx2,batch,u64,2,256,8000000,6.395200,1250938200.891885
UA,xoshiro256**,avx2,batch,double,2,256,8000000,14.310000,559049615.560246
UA,xoshiro256**,avx2,batch,normal,2,256,8000000,192.370400,41586439.491315
UA,xoshiro256**,avx2,batch,u64,2,1024,8000000,6.077800,1316265759.281123
UA,xoshiro256**,avx2,batch,double,2,1024,8000000,14.130100,566167259.488946
UA,xoshiro256**,avx2,batch,normal,2,1024,8000000,188.819500,42368505.378380
UA,xoshiro256**,avx2,batch,u64,2,4096,8000000,6.680000,1197604789.136836
UA,xoshiro256**,avx2,batch,double,2,4096,8000000,14.397700,555644303.845905
UA,xoshiro256**,avx2,batch,normal,2,4096,8000000,186.594600,42873695.160866
UA,xoshiro256**,avx2,batch,u64,2,16384,8000000,7.871400,1016337627.532200
UA,xoshiro256**,avx2,batch,double,2,16384,8000000,14.455200,553434059.982316
UA,xoshiro256**,avx2,batch,normal,2,16384,8000000,187.744800,42611033.693989
UA,xoshiro256**,avx2,batch,u64,2,65536,8000000,8.157000,980752727.087869
UA,xoshiro256**,avx2,batch,double,2,65536,8000000,14.638700,546496614.823285
UA,xoshiro256**,avx2,batch,normal,2,65536,8000000,186.766700,42834188.314843
UA,xoshiro256**,avx2,batch,u64,4,256,16000000,6.612600,2419623133.261467
UA,xoshiro256**,avx2,batch,double,4,256,16000000,14.603900,1095597750.133733
UA,xoshiro256**,avx2,batch,normal,4,256,16000000,189.497300,84433920.681552
UA,xoshiro256**,avx2,batch,u64,4,1024,16000000,6.374300,2510079536.943640
UA,xoshiro256**,avx2,batch,double,4,1024,16000000,14.569200,1098207173.850922
UA,xoshiro256**,avx2,batch,normal,4,1024,16000000,190.553900,83965744.074048
UA,xoshiro256**,avx2,batch,u64,4,4096,16000000,7.159400,2234824151.561673
UA,xoshiro256**,avx2,batch,double,4,4096,16000000,14.716100,1087244579.723261
UA,xoshiro256**,avx2,batch,normal,4,4096,16000000,190.220800,84112778.421014
UA,xoshiro256**,avx2,batch,u64,4,16384,16000000,7.982000,2004510149.509089
UA,xoshiro256**,avx2,batch,double,4,16384,16000000,15.126200,1057767320.381929
UA,xoshiro256**,avx2,batch,normal,4,16384,16000000,194.081200,82439721.104884
UA,xoshiro256**,avx2,batch,u64,4,65536,16000000,8.785400,1821203365.635906
UA,xoshiro256**,avx2,batch,double,4,65536,16000000,16.483600,970661747.445347
